2019/03/23 18:06:39 [error] 6980#0: *82 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //databaseadmin/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//databaseadmin/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:06:39 [error] 6980#0: *84 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //admm/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//admm/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:06:39 [error] 6980#0: *86 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //admn/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//admn/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:06:39 [error] 6980#0: *88 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //_admin/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//_admin/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:06:39 [error] 6980#0: *90 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //_phpmyadmin/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//_phpmyadmin/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:06:40 [error] 6980#0: *92 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //~/PMA/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//~/PMA/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:06:40 [error] 6980#0: *94 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //3rdparty/phpMyAdmin/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//3rdparty/phpMyAdmin/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:06:40 [error] 6980#0: *96 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //admin/mysql/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//admin/mysql/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:06:40 [error] 6980#0: *98 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //administrator/components/com_joommyadmin/phpmyadmin/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//administrator/components/com_joommyadmin/phpmyadmin/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:06:40 [error] 6980#0: *100 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //adminmysql/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//adminmysql/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:06:40 [error] 6980#0: *102 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //apache-default/phpmyadmin/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//apache-default/phpmyadmin/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:06:40 [error] 6980#0: *104 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //backup/phpmyadmin/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//backup/phpmyadmin/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:06:40 [error] 6980#0: *106 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //bbs/data/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//bbs/data/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:06:40 [error] 6980#0: *108 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //bkup/phpmyadmin/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//bkup/phpmyadmin/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:06:40 [error] 6980#0: *110 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //blog/phpmyadmin/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//blog/phpmyadmin/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:06:40 [error] 6980#0: *112 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //cpadmin/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//cpadmin/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:06:40 [error] 6980#0: *114 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //cpadmindb/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//cpadmindb/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:06:40 [error] 6980#0: *116 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //cpanelmysql/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//cpanelmysql/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:06:40 [error] 6980#0: *118 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //cpanelphpmyadmin/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//cpanelphpmyadmin/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:06:40 [error] 6980#0: *120 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //cpanelsql/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//cpanelsql/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:06:41 [error] 6980#0: *122 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //cpdbadmin/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//cpdbadmin/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:06:41 [error] 6980#0: *124 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //cpdbadmin/Anonymous/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//cpdbadmin/Anonymous/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:06:41 [error] 6980#0: *126 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //cpphpmyadmin/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//cpphpmyadmin/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:06:41 [error] 6980#0: *128 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //database/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//database/scripts/setup.php", host: "47.93.11.157"
